id,name,parents,children,ancestors,obsolete,format-version,data-version,property_value,ontology,xref,is_a,http://www.orpha.net/ORDO/Orphanet_410295,http://www.orpha.net/ORDO/Orphanet_317345,http://www.orpha.net/ORDO/Orphanet_317343,http://www.orpha.net/ORDO/Orphanet_327767,http://www.orpha.net/ORDO/Orphanet_317349,http://www.orpha.net/ORDO/Orphanet_317348,http://www.orpha.net/ORDO/Orphanet_410296,http://www.orpha.net/ORDO/Orphanet_317344,http://www.orpha.net/ORDO/Orphanet_465410,http://www.orpha.net/ORDO/Orphanet_317346,xref_new,icd10,mesh,meddra,umls,omim,icd11,ensembl,genatlas,hgnc,swissprot,reactome,iuphar
10,"48,XXYY syndrome",377789; 557493,NA,C001; 557493; 377789; 10,FALSE,NA,NA,"C029 ""1.9"" xsd:float",NA,icd10:q98.8; mesh:d007713; meddra:10048230; umls:c2936741,377789; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100,Ataxia-telangiectasia,377788; 557493,NA,C001; 557493; 377788; 100,FALSE,NA,NA,"C028 ""0.15"" xsd:float; C028 ""0.25"" xsd:float; C028 ""0.4"" xsd:float; C028 ""0.49"" xsd:float; C028 ""1.19"" xsd:float; C029 ""1.7"" xsd:float; C029 ""10.0"" xsd:float",NA,icd10:g11.3; mesh:d001260; meddra:10003594; omim:208900; omim:208910; umls:c0004135,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
1000,Ocular albinism with late-onset sensorineural deafness,377788; 557493,NA,C001; 557493; 377788; 1000,FALSE,NA,NA,"C024 ""9.0"" xsd:float",NA,icd10:e70.3; mesh:c537043; omim:300650; umls:c1845069,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100000,Reticular perineurioma,557494,NA,C001; 557494; 100000,FALSE,NA,NA,NA,NA,icd10:d36.1,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100001,Sclerosing perineurioma,557494,NA,C001; 557494; 100001,FALSE,NA,NA,NA,NA,icd10:d36.1,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100002,Extraneural perineurioma,377788; 557493,NA,C001; 557493; 377788; 100002,FALSE,NA,NA,NA,NA,icd10:d36.1,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100003,Intraneural perineurioma,377788; 557493,NA,C001; 557493; 377788; 100003,FALSE,NA,NA,NA,NA,icd10:d36.1; umls:c1370658,377788; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100006,"ABeta amyloidosis, Dutch type",557494,NA,C001; 557494; 100006,FALSE,NA,NA,"C024 ""250.0"" xsd:float",NA,icd10:e85.4+; icd10:i68.0*; mesh:c537944; mesh:d028243; omim:605714; umls:c0268394; umls:c2931672,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100008,ACys amyloidosis,557494,NA,C001; 557494; 100008,FALSE,NA,NA,"C024 ""9.0"" xsd:float",NA,icd10:e85.4+; icd10:i68.0*; omim:105150; umls:c1527338,557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100011,Lissencephaly with cerebellar hypoplasia type A,377789; 557493,NA,C001; 557493; 377789; 100011,FALSE,NA,NA,NA,NA,icd10:q04.3,377789; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100012,Lissencephaly with cerebellar hypoplasia type B,377789; 557493,NA,C001; 557493; 377789; 100012,FALSE,NA,NA,"C024 ""50.0"" xsd:float",NA,icd10:q04.3,377789; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100013,Lissencephaly with cerebellar hypoplasia type C,377789; 557493,NA,C001; 557493; 377789; 100013,FALSE,NA,NA,"C024 ""2.0"" xsd:float",NA,icd10:q04.3,377789; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100014,Lissencephaly with cerebellar hypoplasia type D,377789; 557493,NA,C001; 557493; 377789; 100014,FALSE,NA,NA,NA,NA,icd10:q04.3,377789; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
100015,Lissencephaly with cerebellar hypoplasia type E,377789; 557493,NA,C001; 557493; 377789; 100015,FALSE,NA,NA,NA,NA,icd10:q04.3,377789; 557493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
